ID,year,brochure,photo,white_female,white_male,black_female,black_male,other_race_female,other_race_male,
1,1999-2000,1,1,1,2,0,0,0,0,
2,,,2,0,0,1,0,0,0,
3,,,3,1,1,0,0,0,0,
4,,,4,4,4,0,0,0,2,
5,,,5,0,1,0,0,0,0,
6,,,6,3,3,0,0,0,0,
7,,,7,4,1,1,0,0,0,
8,,,8,0,1,0,0,0,0,
9,2000-2001,1,1,0,0,0,0,0,1,
10,,,2,1,0,0,0,0,0,
11,,,3,0,1,0,0,0,0,
12,,,4,1,0,0,0,1,0,
13,,,5,0,1,0,0,0,0,
14,,,6,0,0,1,0,0,0,
15,,,7,1,0,1,0,0,1,
16,,,8,2,2,0,1,0,0,
17,,,9,1,0,0,0,0,0,
18,,,10,1,2,0,0,0,0,
19,,,11,1,0,0,0,0,0,
20,2001-2002,1,1,0,0,1,0,0,0,
21,,,2,1,0,0,0,0,0, 
22,,,3,0,1,0,0,0,0,
23,,,4,0,1,0,0,0,0,
24,,,5,0,0,0,1,0,0,
25,,,6,1,0,0,0,0,0,
26,,,7,0,0,0,0,0,1,
27,,,8,0,1,0,0,0,0,
28,,,9,0,0,0,0,0,1,
29,,,10,1,0,0,0,0,0,
30,,,11,0,0,0,1,0,0,
31,,,12,1,0,0,0,0,0,
32,,,13,0,0,0,0,0,1,
33,,,14,0,1,0,1,1,0,
34,,,15,1,1,0,0,0,0,
35,,,16,0,1,1,0,0,0,
36,,,17,1,0,0,0,0,0,
37,,,18,0,0,0,0,1,0,
38,,,19,2,3,1,0,1,0,
39,,,20,1,0,0,0,0,0,
40,,,21,0,0,0,1,0,0,
41,,,22,0,0,0,1,0,0,
42,,,23,0,1,0,0,0,0,
43,,,24,0,1,0,0,0,0,
44,,,25,0,1,0,0,0,1,
45,,,26,1,0,0,0,0,0,
46,,,27,3,2,0,1,0,1,
47,,,28,0,0,0,0,0,1,
48,,,29,0,1,0,0,0,0,
49,,,30,0,0,1,0,0,0,
50,,,31,0,0,0,0,1,0,
51,,,32,5,0,0,0,0,2,
52,,,33,1,1,0,0,0,0,
53,2002-2003,1,1,1,1,0,0,0,0,
54,,,2,0,0,0,1,0,0,
55,,,3,0,0,1,0,0,0,
56,,,4,0,3,0,0,0,0,
57,,,5,2,2,0,1,1,0,
58,,,6,0,1,0,0,1,0,
59,,,7,1,0,0,0,0,0,
60,,,8,1,1,0,0,0,0,
61,,,9,1,2,1,0,1,0,
62,,,10,0,0,0,1,0,0,
63,,,11,2,3,0,0,0,1,
64,,,12,1,0,0,0,0,0,
65,,,13,0,1,0,0,1,0,
66,,,14,0,1,0,0,0,0,
67,,,15,1,1,0,0,0,0,
68,,,16,1,1,0,0,0,1,
69,,,17,0,1,0,0,0,0,
70,,,18,1,0,0,0,0,0,
71,,,19,0,0,0,0,0,1,
72,,,20,0,1,0,0,0,0,
73,,,21,1,0,0,0,0,0,
74,,,22,0,2,0,1,0,1,
75,,,23,0,1,0,0,0,0,
76,,,24,1,2,0,0,1,0,
77,,,25,1,0,0,0,0,0,
78,,,26,1,0,0,0,0,0,
79,,,27,1,0,0,0,0,0,
80,,,28,5,5,0,0,0,0,
81,,,29,0,0,0,1,0,0,
82,,,30,0,0,1,0,0,0,
83,,,31,2,1,0,0,0,0,
84,,,32,1,0,0,0,0,0,
85,,,33,0,1,0,0,0,0,
86,,,34,0,1,0,0,0,0,
87,,,35,0,2,0,0,0,0,
88,,,36,0,2,0,0,0,0,
89,,,37,2,0,0,0,0,0,
90,,,38,2,5,2,0,0,1,
91,,,39,2,4,0,0,0,0,
92,,,40,0,2,0,0,0,0,
93,,,41,0,1,0,0,0,0,
94,,,42,2,0,0,0,1,0,
95,,,43,1,1,0,0,0,0,
96,,,44,0,0,1,0,0,0,
97,,,45,0,1,0,0,0,0,
98,2004-2005,1,1,1,0,0,0,0,0,
99,,,2,0,2,0,0,0,0,
100,,,3,0,0,1,0,0,0,
101,,,4,2,2,0,0,0,2,
102,,,5,0,1,0,0,0,0,
103,,,6,0,1,0,0,0,0,
104,,,7,0,1,0,0,0,1,
105,,,8,5,4,0,0,0,0,
106,,,9,3,3,0,0,0,1,
107,,,10,1,1,0,0,0,1,
108,,,11,0,1,0,1,0,0,
109,,,12,1,0,0,0,0,0,
110,,,13,2,1,0,0,0,0,
111,,,14,1,0,0,1,0,0,
112,,,15,0,1,0,0,0,0,
113,,,16,1,0,0,0,0,0,
114,,,17,0,1,1,0,0,0,
115,,,18,0,2,0,0,0,1,
116,,,19,0,0,0,1,0,0,
117,2005-2006,1,1,1,0,0,0,0,1,
118,,,2,1,2,2,0,0,0,
119,,,3,0,0,0,1,0,0,
120,,,4,2,3,0,0,0,1,
121,,,5,1,0,0,0,0,0,
122,,,6,0,1,0,0,1,0,
123,,,7,0,1,0,0,0,0,
124,,,8,1,1,0,0,0,0,
125,,,9,0,1,0,0,0,0,
126,,,10,1,0,0,0,0,0,
127,,,11,1,1,0,0,0,1,
128,,,12,0,0,0,0,0,1,
129,,,13,0,1,0,0,0,0,
130,,,14,1,0,0,0,0,0,
131,,,15,0,2,0,1,0,1,
132,,,16,0,1,0,0,0,0,
133,,,17,1,2,0,0,1,0,
134,,,18,1,0,0,0,0,0,
135,,,19,1,0,0,0,0,0,
136,,,20,1,0,0,0,0,0,
137,,,21,5,4,0,0,0,0,
138,,,22,0,0,0,1,0,0,
139,,,23,0,0,1,0,0,0,
140,,,24,2,1,0,0,0,0,
141,,,25,0,1,0,0,0,0,
142,,,26,1,0,0,0,0,0,
143,,,27,0,1,0,0,0,0,
144,,,28,0,2,0,0,0,0,
145,,,29,0,0,0,0,0,2,
146,,,30,2,0,0,0,0,0,
147,,,31,2,5,3,0,0,2,
148,,,32,0,0,0,1,0,0,
149,,,33,0,2,0,0,0,0,
150,,,34,2,1,0,0,0,0,
151,2006-2007,1,1,1,0,0,0,0,0,
152,,,2,0,1,0,0,0,1,
153,,,3,0,0,1,0,0,0,
154,,,4,2,2,0,0,0,1,
155,,,5,0,1,0,0,0,0,
