year,black_female,black_male,white_female,white_male,total_female,total_male,total_other_female,total_other_male,total_incoming_class
1999-2000,6,11,194,200,226,229,25,18,455
2000-2001,14,14,205,202,229,236,10,20,465
2001-2002,15,16,200,173,247,222,32,33,469
2002-2003,8,6,198,184,243,225,37,35,468
2003-2004,17,11,187,199,238,254,34,44,492
2004-2005,21,16,176,169,238,224,41,39,462
2005-2006,14,18,191,167,234,226,29,41,460
2006-2007,16,12,159,177,233,228,58,39,461
2007-2008,13,10,172,174,234,231,49,47,465
2008-2009,20,12,166,174,250,230,64,44,480
2009-2010,16,18,185,184,254,237,53,35,491
2010-2011,16,20,160,184,246,253,70,49,499
2011-2012,20,8,176,176,242,246,46,62,488
2012-2013,15,21,170,168,251,239,66,50,490
2013-2014,19,14,163,160,255,228,73,54,483
2014-2015,22,9,169,171,258,244,67,64,502
2015-2016,19,16,158,188,244,266,67,62,510
2016-2017,25,12,169,258,256,258,62,68,514
2017-2018,14,19,176,185,251,268,61,64,519
2018-2019,8,25,187,163,265,250,70,62,515
